,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
January,0.2234164085239172,0.16911591216921806,-0.15261678646008173,-0.11624318206061919,0.004143068217672408,-0.01221592677757144
February,0.1967837980017066,0.27980217039585115,-0.15665920339524747,-0.16128404550254344,-0.00186459191609174,-0.02633346419315785
March,0.18801917359232903,0.20241424031555652,-0.1297126829624176,-0.11906650890596211,0.018803192395716907,-0.008853517752140761
April,0.02159468031355313,0.02501910090047334,-0.07261273464454072,-0.07110503262707166,0.041995374485850334,0.014437889946358544
May,0.13857568722839156,0.17261144416503763,-0.12501795248438916,-0.1278047033896049,0.03017100753883521,0.006875535453824948
June,0.45259523391723633,0.6589861512184143,-0.28666573762893677,-0.32540860772132874,-0.016424307599663734,-0.03999999910593033
July,0.19367213795582452,0.301385502020518,-0.1512168124318123,-0.1665101945400238,0.06807072274386883,0.050785598888372384
August,0.09684568643569946,0.23789019882678986,-0.09531650692224503,-0.09956853091716766,0.08062227070331573,0.06283549219369888
September,0.2924330805738767,0.4458817932754755,-0.14828890934586525,-0.16283609283467135,0.050497399643063545,0.0330069426757594
October,0.30346548293406767,0.438894050506254,-0.16530232379833856,-0.18614164357616877,0.019363408617209643,-0.0013606743887066841
November,0.2837557087341944,0.31155441811618706,-0.16296610732873282,-0.15464729405939578,0.014737327924619119,-0.007336321659386158
December,0.3201780507961909,0.4321725669627388,-0.19677025973796844,-0.20979523230344058,-0.0036111709875209876,-0.027846180833876133
